x,y,Aspect,ELEV,FRG,K_Factor,MAP,MAT,NDVI,NLCD,Silt_Clay,Slope,TPI,NLCD,SOC
-735285,1953795,141.2993317,1464.400146,2,0.182978719,351.2148438,9.556649208,0.63041538,7,23.31914902,1.053727746,0.12806271,3,6.24662127665121
-715285,2003795,168.2496948,1593.34729,2,0.208673462,364.7772522,8.626581192,0.362284631,6,46.67755127,1.666772246,0.738331497,1,3.46005968947923
-975285,1953795,184.7032471,2619.830566,3,0.275918365,708.5124512,4.002142906,0.795673072,4,53.90000153,11.52437687,-0.411483884,4,9.34817943005131
-1025285,2433795,129.8008118,1799.028442,4,0.319999993,312.5892029,6.073800087,0.328328133,5,53.56900024,6.089047432,1.676946521,2,5.3948768184517
-545285,1983795,125.6625443,1200.679688,2,0.235789478,454.0769043,9.799578667,0.484120965,7,46.69368362,0.73113656,0.037374865,3,5.95153208006189
-905285,1983795,197.6079254,2508.149414,3,0.159032255,850.2007446,3.674892426,0.738621712,4,46.23548508,10.74566555,-3.545754433,4,11.542267852269
-955285,1373795,205.1931763,1628.03064,5,0.198899999,244.1761322,12.90404987,0.178972974,5,21.82999992,1.429181218,-1.083548903,2,1.57800864273389
-805285,1253795,157.9477844,1420.356201,2,0.370000005,344.3328247,14.32585812,0.214321509,6,59.5,2.100599527,0.292345643,1,2.27472890366823
-705285,1713795,154.2604218,1374.269287,2,0.2194186,278.5699158,11.50209332,0.302854598,6,58.71395493,1.832187295,-0.587442398,1,3.03181638833511
-945285,2243795,171.9018402,2060.585693,4,0.282000005,265.2889099,5.674799919,0.220847115,5,40.82500076,2.667397976,-0.308484256,2,1.28293717692966
-845285,1693795,195.9963074,2342.19873,3,0.148404256,226.2288361,5.685851097,0.28932789,5,21.67340469,1.023944378,-1.281184793,2,1.0838818950346
-935285,1743795,147.9745789,2935.888184,3,0.210299999,417.740387,2.150650024,0.485356122,6,49.29499817,9.588588715,1.589789033,1,7.16067669683238
-395285,1563795,153.9241486,753.5294189,2,0.250470579,538.2377319,13.51541138,0.412516803,6,43.3094101,1.766551256,0.397537857,1,3.34187529573844
-1015285,2303795,138.4206848,1615.09375,4,0.360459775,215.5078125,6.595861912,0.408203155,5,43.70919418,1.870896459,1.43728435,2,4.04863834758548
-715285,1703795,109.5826874,1417.192871,2,0.31279999,296.8576965,11.44964981,0.245882124,6,77.40799713,1.353384137,-0.377047509,1,5.75318998988829
-975285,1183795,138.3985748,1605.736938,3,0.128399998,332.5036926,14.36299992,0.211811826,5,38.00500107,9.447031021,-11.08924961,2,3.38497238951345
-1045285,1493795,210.274292,2054.519043,3,0.265757591,266.5658875,9.262979507,0.177185506,6,48.98686981,6.295391083,5.000002861,1,2.61246377090222
-845285,2443795,147.8945007,1385.22998,2,0.324255317,380.4032593,7.04265976,0.493926138,5,54.46915054,7.313163757,0.847859621,2,11.554804011825
-785285,2013795,166.8891296,2129.531982,3,0.172989696,451.7922974,6.497835159,0.479385793,4,38.74433136,10.38526344,1.618315816,4,7.08483797250604
-905285,1093795,190.5244141,1671.655396,2,0.31400001,503.3080139,13.71315002,0.212897599,5,55.36299896,4.276935577,0.746540844,2,2.88489002087901
-975285,2413795,159.8323975,1373.125732,133,0.370000005,236.4125061,7.466499805,0.155226931,6,58.16999817,1.670018792,-1.399739981,1,1.87989524199693
-595285,1723795,126.1248856,1269.501343,2,0.265520841,378.471405,11.25354195,0.319596231,6,64.96875,1.166838408,-0.803671658,1,4.05808089701729
-885285,1323795,159.5668488,1941.122192,2,0.370000005,392.806488,10.43239975,0.257872522,6,56.70199966,1.008145332,0.21830757,1,3.96526618556078
-795285,1433795,167.2126617,2005.764771,2,0.370000005,472.8883972,9.526749611,0.312771261,6,62.20000076,2.180110455,-0.536539555,1,4.34746884849093
-1045285,1313795,127.7556229,2101.983887,3,0.218700007,343.3804016,10.32429981,0.24421148,4,49.17699814,6.463055134,0.316052556,4,4.17419825957433
